response,block,n,r2,baseline_r2,predictor_set
terminal_taper_fraction,region_year_hash,237235,0.0026443964166279477,0.0,extreme days
growth_entropy,random_fire,237235,0.0002375941271263171,0.0,extreme days
growth_entropy,year_block,237235,0.00012653364588599558,0.0,extreme days
growth_entropy,region_block,237235,-0.0025190056820347806,0.0,extreme days
growth_entropy,region_year_hash,237235,6.0827710384181444e-05,0.0,extreme days
pulse_count,random_fire,237235,6.524756673820242e-05,0.0,extreme days
pulse_count,year_block,237235,4.4744015007758264e-05,0.0,extreme days
pulse_count,region_block,237235,-0.0015427836617953883,0.0,extreme days
pulse_count,region_year_hash,237235,2.3149956438150987e-05,0.0,extreme days
reactivation_count,random_fire,237235,5.9648610260754076e-05,0.0,extreme days
reactivation_count,year_block,237235,3.9183297656175675e-05,0.0,extreme days
reactivation_count,region_block,237235,-0.001533861648743473,0.0,extreme days
reactivation_count,region_year_hash,237235,1.96742912761394e-05,0.0,extreme days
peak_timing,random_fire,237235,0.0006134386457052887,0.0,extreme days
peak_timing,year_block,237235,0.0005701521499394957,0.0,extreme days
peak_timing,region_block,237235,-0.001228880619501549,0.0,extreme days
peak_timing,region_year_hash,237235,0.0004784570339063654,0.0,extreme days
duration_days,random_fire,237235,5.730719495955494e-05,0.0,extreme days
duration_days,year_block,237235,-6.848850101714987e-05,0.0,extreme days
duration_days,region_block,237235,-0.0025414823746270354,0.0,extreme days
duration_days,region_year_hash,237235,-0.0001445850884631561,0.0,extreme days
final_area_km2,random_fire,237235,0.009195876804419911,0.0,extreme days
final_area_km2,year_block,237235,0.008256835879710822,0.0,extreme days
final_area_km2,region_block,237235,-4.888096684951826e-05,0.0,extreme days
final_area_km2,region_year_hash,237235,0.008107977698787572,0.0,extreme days
morph_pc1,random_fire,237235,0.0005282040458125525,0.0,extreme days
morph_pc1,year_block,237235,0.0003951322335973284,0.0,extreme days
morph_pc1,region_block,237235,-0.0028687878796229693,0.0,extreme days
morph_pc1,region_year_hash,237235,0.0002792400387757743,0.0,extreme days
front_loaded_fraction,random_fire,63840,0.01614682730024153,0.0,time-resolved exposure
front_loaded_fraction,year_block,63840,0.01558939388780256,0.0,time-resolved exposure
front_loaded_fraction,region_block,63840,0.010072231920109864,0.0,time-resolved exposure
front_loaded_fraction,region_year_hash,63840,0.014964052226840052,0.0,time-resolved exposure
late_growth_fraction,random_fire,63840,0.014969617976184124,0.0,time-resolved exposure
late_growth_fraction,year_block,63840,0.014378816504670322,0.0,time-resolved exposure
late_growth_fraction,region_block,63840,0.009055732384551707,0.0,time-resolved exposure
late_growth_fraction,region_year_hash,63840,0.013982154613416564,0.0,time-resolved exposure
terminal_taper_fraction,random_fire,63840,0.0180889262502264,0.0,time-resolved exposure
terminal_taper_fraction,year_block,63840,0.017048653383834433,0.0,time-resolved exposure
terminal_taper_fraction,region_block,63840,0.011875899004285762,0.0,time-resolved exposure
terminal_taper_fraction,region_year_hash,63840,0.017053320167090158,0.0,time-resolved exposure
growth_entropy,random_fire,63840,0.07232582980113211,0.0,time-resolved exposure
growth_entropy,year_block,63840,0.07018299790406979,0.0,time-resolved exposure
growth_entropy,region_block,63840,0.05466454792190467,0.0,time-resolved exposure
growth_entropy,region_year_hash,63840,0.06980214765599935,0.0,time-resolved exposure
pulse_count,random_fire,63840,0.0057684471794066106,0.0,time-resolved exposure
pulse_count,year_block,63840,0.00595766902539685,0.0,time-resolved exposure
pulse_count,region_block,63840,0.0017958915331535152,0.0,time-resolved exposure
pulse_count,region_year_hash,63840,0.005214471162722889,0.0,time-resolved exposure
reactivation_count,random_fire,63840,0.005619862077320126,0.0,time-resolved exposure
reactivation_count,year_block,63840,0.005818103889212889,0.0,time-resolved exposure
reactivation_count,region_block,63840,0.0018526170084074423,0.0,time-resolved exposure
reactivation_count,region_year_hash,63840,0.005105154176653692,0.0,time-resolved exposure
peak_timing,random_fire,63840,0.0026092444760660305,0.0,time-resolved exposure
peak_timing,year_block,63840,0.002489940811912228,0.0,time-resolved exposure
peak_timing,region_block,63840,0.0015353649750367016,0.0,time-resolved exposure
peak_timing,region_year_hash,63840,0.002521604509608588,0.0,time-resolved exposure
duration_days,random_fire,63840,0.01633518690465019,0.0,time-resolved exposure
duration_days,year_block,63840,0.015809588883639814,0.0,time-resolved exposure
duration_days,region_block,63840,0.004157427096493582,0.0,time-resolved exposure
duration_days,region_year_hash,63840,0.014686159126119258,0.0,time-resolved exposure
final_area_km2,random_fire,63840,0.07005721379693586,0.0,time-resolved exposure
final_area_km2,year_block,63840,0.0666008891931924,0.0,time-resolved exposure
final_area_km2,region_block,63840,0.04549715051520942,0.0,time-resolved exposure
final_area_km2,region_year_hash,63840,0.06725208666464755,0.0,time-resolved exposure
morph_pc1,random_fire,63840,0.006486881731196048,0.0,time-resolved exposure
morph_pc1,year_block,63840,0.0062283534477276525,0.0,time-resolved exposure
morph_pc1,region_block,63840,0.0020184397137466004,0.0,time-resolved exposure
morph_pc1,region_year_hash,63840,0.0054597776824655275,0.0,time-resolved exposure
